epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.79362,1.53691,1.62341,1.31736,0.89876,0.85552,0.89547,0.49344,1.36362,1.46259,1.24579,0.00065812,0.00065812,0.00065812
2,12.6859,1.50681,0.92375,1.24084,0.78543,0.75,0.79446,0.4358,1.50884,2.81878,1.35093,0.00131823,0.00131823,0.00131823
3,18.4666,1.53439,0.91702,1.25979,0.78988,0.65422,0.69057,0.28213,2.26212,2.68494,1.83604,0.00197174,0.00197174,0.00197174
4,24.2669,1.5104,0.87855,1.2498,0.82816,0.80357,0.86353,0.49662,1.37682,2.63361,1.23326,0.0019703,0.0019703,0.0019703
5,30.1363,1.48421,0.85001,1.2326,0.93587,0.86526,0.8963,0.53683,1.38758,2.28436,1.23447,0.0019604,0.0019604,0.0019604
6,35.8862,1.46038,0.82895,1.23205,0.91458,0.82792,0.89207,0.58082,1.23006,0.76362,1.17835,0.0019505,0.0019505,0.0019505
7,41.6788,1.4165,0.79903,1.21121,0.79572,0.41102,0.52954,0.32229,1.81905,2.28701,1.67412,0.0019406,0.0019406,0.0019406
8,47.4452,1.35679,0.7513,1.18393,0.94388,0.87375,0.91263,0.58922,1.24255,0.72652,1.20111,0.0019307,0.0019307,0.0019307
9,53.232,1.34426,0.75511,1.1791,0.86677,0.80357,0.87299,0.5192,1.35889,0.89406,1.24242,0.0019208,0.0019208,0.0019208
10,59.0102,1.36948,0.74583,1.17468,0.94398,0.86851,0.90862,0.60025,1.1196,1.20863,1.11941,0.0019109,0.0019109,0.0019109
11,64.7962,1.32905,0.72678,1.15534,0.83575,0.80952,0.86016,0.49708,1.35068,0.84112,1.22419,0.001901,0.001901,0.001901
12,70.55,1.32157,0.73206,1.16226,0.95908,0.88149,0.93678,0.64077,1.0701,0.62508,1.11007,0.0018911,0.0018911,0.0018911
13,76.3172,1.30786,0.7024,1.14111,0.9546,0.88474,0.93065,0.61793,1.1195,0.65862,1.10903,0.0018812,0.0018812,0.0018812
14,82.132,1.311,0.69631,1.15806,0.94822,0.88312,0.93115,0.63259,1.09395,0.66002,1.10686,0.0018713,0.0018713,0.0018713
15,88.0117,1.29866,0.70208,1.14944,0.96238,0.89123,0.93851,0.63443,1.08898,0.5817,1.11223,0.0018614,0.0018614,0.0018614
16,93.7918,1.27786,0.68059,1.13636,0.9527,0.87662,0.93631,0.62992,1.14036,0.59899,1.14846,0.0018515,0.0018515,0.0018515
17,99.5719,1.27203,0.6781,1.13964,0.94624,0.8858,0.93079,0.62012,1.15046,0.6121,1.14535,0.0018416,0.0018416,0.0018416
18,105.303,1.26162,0.67339,1.13268,0.90345,0.82792,0.88141,0.56071,1.34945,0.8958,1.21626,0.0018317,0.0018317,0.0018317
19,111.024,1.26965,0.68901,1.14301,0.93409,0.87424,0.93482,0.6279,1.08981,0.59579,1.10481,0.0018218,0.0018218,0.0018218
20,116.82,1.24674,0.66181,1.12387,0.96307,0.88961,0.9324,0.64049,1.11032,0.6157,1.12361,0.0018119,0.0018119,0.0018119
21,122.566,1.25384,0.66751,1.13665,0.96698,0.87987,0.93301,0.6525,1.06508,0.59932,1.09837,0.001802,0.001802,0.001802
22,128.477,1.21705,0.65322,1.11668,0.9607,0.87296,0.92926,0.64685,1.02879,0.66917,1.07704,0.0017921,0.0017921,0.0017921
23,134.207,1.21085,0.64581,1.11664,0.92859,0.88663,0.93654,0.64449,1.0562,0.60105,1.08501,0.0017822,0.0017822,0.0017822
24,139.968,1.21741,0.63368,1.10643,0.96767,0.87465,0.93892,0.62113,1.11257,0.61426,1.11799,0.0017723,0.0017723,0.0017723
25,145.704,1.18987,0.62902,1.09416,0.97176,0.89363,0.94633,0.64821,1.07075,0.54761,1.12728,0.0017624,0.0017624,0.0017624
26,151.457,1.19795,0.62531,1.10622,0.96842,0.88961,0.94134,0.64786,1.05308,0.53765,1.09994,0.0017525,0.0017525,0.0017525
27,157.206,1.18927,0.61895,1.09434,0.97254,0.88149,0.94843,0.66983,1.01258,0.57283,1.08456,0.0017426,0.0017426,0.0017426
28,162.999,1.16651,0.61586,1.09312,0.9409,0.8787,0.93694,0.63899,1.11437,0.62973,1.13625,0.0017327,0.0017327,0.0017327
29,168.841,1.16085,0.61262,1.08223,0.9496,0.88697,0.9407,0.61687,1.20511,0.6503,1.15648,0.0017228,0.0017228,0.0017228
30,174.589,1.16593,0.60884,1.08626,0.9646,0.88476,0.94518,0.66104,1.01979,0.54139,1.0811,0.0017129,0.0017129,0.0017129
